Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,719.19
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,759.95
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,688.46
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,810.84
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,848.08
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,778.5
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,1067.67
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,959.63
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,824.28
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,1040.22
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,908.26
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,1115.59
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,1183.9
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,1226.69
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,1202.79
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,1230.45
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,1210.77
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,1228.35
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,1266.88
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,1371.91
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,1469.61
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,1555.81
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,1680.76
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,1540.1
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,1869.74
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,1691.45
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,1574.33
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,1770.61
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,1731.17
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2015,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2016,1863.16
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2017,1839.71
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2018,1793.47
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2019,1757.82
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2020,1895.81
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2021,2057.26
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2022,2024.19
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,64.64
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,227.17
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,276.4
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,215.05
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,502.98
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,613.98
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,669.83
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,485.45
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,588.21
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,850.92
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,909.82
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,1302.36
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,1032.95
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,1188.81
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,1217.33
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,1179.44
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,1345.63
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,1251.23
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,1363.6
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,1397.52
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,1513.02
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,1795.07
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,1435.65
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,1749.78
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,1751.51
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,1966.37
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,1922.68
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,1867.25
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,1962.27
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,2273.45
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,2262.51
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,2508.61
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,2301.48
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,2555.36
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,2765.56
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,2786.39
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,2907.14
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,3001.99
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,2854.16
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,2999.51
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,3044.24
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,3308.55
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2015,3200.74
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2016,3477.39
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2017,3656.59
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2018,
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2019,3409.99
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2020,3572.28
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2021,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2022,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,55.68
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,123.96
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,-10.99
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,110.95
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,-172.02
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,84.86
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,197.25
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,132.93
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,456.15
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,185.1
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,319.31
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,411.59
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,620.44
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,540.34
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,476.37
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,655.93
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,664.83
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,620.11
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,712
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,797.08
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,887.15
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,1014.74
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,767.56
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,1139.84
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,766.53
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,981.76
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,1090.98
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,1095.44
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,1040.28
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,1116.94
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,1123.65
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,1149.22
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,1328.31
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,1314.26
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,1244.47
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,1414.89
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,1500.65
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,1517.53
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,1406.87
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,1468.95
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,1634.9
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,1656.41
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,1628.48
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,1677.51
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,1677.02
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,1826.09
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,1786.36
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,1820.01
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,1986.86
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,1994.73
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2015,2028.74
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2016,2113.14
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2017,2019.89
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2018,
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2019,2057.17
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2020,
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2021,
England,COU,GDP (current US$),NY.GDP.MKTP.CD,2022,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1960,126.38
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1961,14.97
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1962,42.87
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1963,328.81
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1964,340.88
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1965,372.83
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1966,421.97
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1967,
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1968,366.83
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1969,512.84
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1970,486.26
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1971,700.2
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1972,
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1973,617.56
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1974,716.68
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1975,838.82
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1976,789.87
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1977,812.73
Singapore,COU,GDP (current US$),NY.GDP.MKTP.CD,1978,968.03
England,COU,GDP (current US$),NY.GDP.MKTP.CD,1979,1016.87
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1980,990.39
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1981,1042.69
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1982,1161.71
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1983,1042.41
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,1984,1095.18
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1985,1212.8
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1986,
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1987,1413.15
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,1988,1578.31
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1989,1565.25
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,1990,1512.2
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1991,
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,1992,1525.36
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,1993,1672.48
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1994,1694.17
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,1995,1804.02
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1996,1737.74
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,1997,1921.11
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,1998,2071.16
India,COU,GDP (current US$),NY.GDP.MKTP.CD,1999,1955.72
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2000,
India,COU,GDP (current US$),NY.GDP.MKTP.CD,2001,2133.03
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2002,2072.61
Norway,COU,GDP (current US$),NY.GDP.MKTP.CD,2003,2183.85
Switzerland,COU,GDP (current US$),NY.GDP.MKTP.CD,2004,2211.41
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2005,2268.63
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2006,
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2007,2358.73
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2008,2454.79
Malaysia,COU,GDP (current US$),NY.GDP.MKTP.CD,2009,2598.82
Sri Lanka,COU,GDP (current US$),NY.GDP.MKTP.CD,2010,
Maldives,COU,GDP (current US$),NY.GDP.MKTP.CD,2011,2766.45
Thailand,COU,GDP (current US$),NY.GDP.MKTP.CD,2012,2523.1
Jamaica,COU,GDP (current US$),NY.GDP.MKTP.CD,2013,2735.78
Australia,COU,GDP (current US$),NY.GDP.MKTP.CD,2014,2715.59
